,,int,str,float,int,int,int,int,int,float,float,int,int,int,int,int,int,int,float
0,,¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
145,2018,1,SK,4.67,144,78,65,29,63,0.545,1274.2,1353,189,425,74,1130,729,662,1.39
146,2018,2,ÇÑÈ­,4.93,144,77,67,37,62,0.535,1274,1394,164,472,89,1124,761,698,1.46
147,2018,3,µÎ»ê,4.98,144,93,51,41,56,0.646,1288.2,1401,154,476,109,1025,756,713,1.46
148,2018,4,³Ø¼¾,5.08,144,75,69,32,72,0.521,1282,1442,178,416,98,1021,780,723,1.45
149,2018,5,»ï¼º,5.19,144,68,72,33,56,0.486,1285.1,1477,185,441,107,1114,802,741,1.49
150,2018,6,LG,5.29,144,68,75,29,43,0.476,1268.2,1434,159,453,89,1058,816,746,1.49
151,2018,7,KT,5.34,144,59,82,24,45,0.418,1274.1,1580,194,409,84,1025,834,756,1.56
152,2018,8,·Ôµ¥,5.37,144,68,74,29,64,0.479,1283.2,1410,166,548,73,1164,846,766,1.53
153,2018,9,KIA,5.4,144,70,74,26,43,0.486,1270.2,1511,181,445,69,1017,826,763,1.54
154,2018,10,NC,5.48,144,58,85,24,51,0.406,1264,1443,186,537,68,1010,844,769,1.57
155,2019,1,SK,3.48,144,88,55,51,92,0.615,1292.1,1240,99,436,50,1092,546,500,1.3
156,2019,2,µÎ»ê,3.51,144,88,55,44,69,0.615,1283.2,1259,78,380,70,860,550,500,1.28
157,2019,3,Å°¿ò,3.61,144,86,57,39,91,0.601,1279,1293,61,371,58,984,572,513,1.3
158,2019,4,LG,3.86,144,79,64,43,62,0.552,1283.1,1257,89,499,91,953,633,551,1.37
159,2019,5,NC,4.01,144,73,69,32,68,0.514,1284.1,1285,103,483,92,991,631,572,1.38
160,2019,6,KT,4.29,144,71,71,37,59,0.5,1277,1303,118,481,61,848,661,608,1.4
161,2019,7,»ï¼º,4.64,144,60,83,29,60,0.42,1275.1,1332,125,523,70,924,731,658,1.45
162,2019,8,KIA,4.65,144,62,80,30,64,0.437,1264,1362,101,504,76,976,723,653,1.48
163,2019,9,ÇÑÈ­,4.8,144,58,86,28,43,0.403,1268.2,1407,120,526,72,934,737,677,1.52
164,2019,10,·Ôµ¥,4.83,144,48,93,16,47,0.34,1271,1407,120,546,71,1033,764,682,1.54
165,2020,1,µÎ»ê,4.31,144,79,61,23,45,0.564,1285.2,1395,109,478,61,1046,695,616,1.46
166,2020,2,LG,4.37,144,79,61,29,67,0.564,1292.2,1344,123,493,86,1019,694,627,1.42
167,2020,3,Å°¿ò,4.39,144,80,63,42,81,0.559,1280.1,1336,126,446,73,950,692,624,1.39
168,2020,4,KT,4.54,144,81,62,33,71,0.566,1290.1,1357,118,523,59,848,715,651,1.46
169,2020,5,NC,4.58,144,83,55,31,88,0.601,1296.2,1292,153,547,79,1049,714,660,1.42
170,2020,6,·Ôµ¥,4.64,144,71,72,25,59,0.497,1277.1,1351,143,447,58,1002,720,659,1.41
171,2020,7,»ï¼º,4.78,144,64,75,25,80,0.46,1272.1,1330,151,542,67,931,745,676,1.47
